名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,都道府県コード,電話番号,携帯,キャリア,カレーの食べ方
大和田 ひとり,おおわだ ひとり,oowada_hitori@example.com,男,47,1973/1/21,既婚,A型,栃木県,09,038-341-4450,080-5126-4043,ドコモ,別盛り・ルー攻め派
藤木 薫,ふじき かおる,fujiki_kaoru@example.com,男,19,2001/1/19,未婚,AB型,京都府,26,020-216-7164,090-3938-4640,ドコモ,ぶっかけ・せき止め派
柴咲 恵麻,しばさき えま,shibasaki_ema@example.com,女,25,1994/7/31,未婚,A型,北海道,01,068-916- 508,080-5293-1493,ドコモ,左ルー・別口派
加瀬 豊,かせ ゆたか,kase_yutaka@example.com,男,75,1944/10/4,既婚,B型,東京都,13,039-151- 945,080-7857-8362,ソフトバンク,左ルー・せき止め派
鳥居 一輝,とりい かずき,torii_kazuki@example.com,男,63,1956/4/29,既婚,A型,京都府,26,020-571-8029,090-4247-9783,ドコモ,右ルー・別口派
原 聡,はら さとし,hara_satoshi@example.com,男,40,1980/2/12,未婚,O型,大阪府,27,091-813-3930,080-2160-4690,ドコモ,手前ルー・ナン派
五十嵐 賢治,いがらし けんじ,igarashi_kenji@example.com,男,81,1938/8/23,既婚,A型,福岡県,40,021-518-8830,090-1833-3254,ドコモ,ぶっかけ・せき止め派
牧 芳正,まき よしまさ,maki_yoshimasa@example.com,男,13,2006/4/30,未婚,A型,神奈川県,14,054- 90-2334,090-3203-1949,ドコモ,左ルー・別口派
上田 亮,うえだ りょう,ueda_ryou@example.com,男,24,1995/11/23,既婚,B型,静岡県,22,0 1-188-7191,080-8368-4021,ドコモ,ぶっかけ・混ぜ混ぜ派
片山 結衣,かたやま ゆい,katayama_yui@example.com,女,82,1937/7/3,既婚,O型,福岡県,40,069- 62-4549,090-4379-3990,ドコモ,別盛り・混ぜ混ぜ派
浅見 恵子,あさみ けいこ,asami_keiko@example.com,女,36,1983/11/9,既婚,A型,千葉県,12,014-967-7159,080-6551-8595,ドコモ,左ルー・ナン派
半田 誠治,はんだ せいじ,hannda_seiji@example.com,男,66,1953/6/15,既婚,O型,愛知県,23,090-220-6515,080-7605-2943,ドコモ,ぶっかけ・別口派
飯田 勇,いいだ ゆう,iida_yuu@example.com,女,10,2009/9/30,未婚,B型,福島県,07,0 9-999- 347,090-9691-6751,ドコモ,ぶっかけ・ナン派
小堀 ケンイチ,こほり けんいち,kohori_kenichi@example.com,男,39,1980/2/27,既婚,A型,愛知県,23,046-292-3676,080-9901-1173,ドコモ,右ルー・ルー攻め派
梅原 サンタマリア,うめはら さんたまりあ,umehara_stmaria@example.com,男,18,2001/3/7,未婚,B型,高知県,39,046-945-3034,090-5761-9343,ドコモ,手前ルー・ルー攻め派
片瀬 はじめ,かたせ はじめ,katase_hajime@example.com,男,77,1942/7/7,既婚,B型,茨城県,08,079-355-3968,090-8933-8130,au,ぶっかけ・ナン派
片桐 一,かたぎり はじめ,katagiri_hajime@example.com,男,10,2009/4/26,未婚,O型,大阪府,27,044-514-3255,090-5692-3400,ドコモ,ぶっかけ・せき止め派
梶原 恵麻,かじわら えま,kajiwara_ema@example.com,女,66,1953/10/31,既婚,O型,富山県,16,080-765- 794,090-4258-1024,ソフトバンク,左ルー・ルー攻め派
塩谷 未來,しおや みらい,shioya_mirai@example.com,女,40,1979/6/20,既婚,O型,兵庫県,28,0 1-687-8000,080-6212-9964,ドコモ,ぶっかけ・せき止め派
堀江 育子,ほりえ いくこ,horie_ikuko@example.com,女,74,1945/10/16,既婚,A型,宮崎県,45,049-626-2361,080-6327-2477,au,ぶっかけ・せき止め派
瀬尾 砂羽,せお さわ,seo_sawa@example.com,女,26,1993/10/6,既婚,B型,東京都,13,052-553-5176,080-5589-4071,ドコモ,ぶっかけ・別口派
児島 満,こじま みつる,kojima_mitsuru@example.com,男,19,2001/1/21,未婚,AB型,埼玉県,11,031-518-2644,090-4810- 884,ツーカー,手前ルー・混ぜ混ぜ派
柴崎 優,しばざき ゆう,shibazaki_yuu@example.com,女,36,1983/10/11,既婚,O型,長崎県,42,0 7- 82-1335,090- 739-2788,au,左ルー・ルー攻め派
河原 朝陽,かわはら あさひ,kawahara_asahi@example.com,女,21,1998/3/11,未婚,A型,愛知県,23,089-225-2045,080-7967-2001,ドコモ,右ルー・ルー攻め派
遠山 哲平,とおやま てっぺい,tooyama_teppei@example.com,男,43,1976/9/24,既婚,O型,神奈川県,14,083-749- 866,090-5811-5084,ソフトバンク,ぶっかけ・せき止め派
八田 将也,やつだ まさや,yatsuda_masaya@example.com,男,30,1989/7/19,既婚,B型,兵庫県,28,091-632-1365,090-8913-4084,ドコモ,右ルー・せき止め派
矢部 美智子,やべ みちこ,yabe_michiko@example.com,女,28,1991/6/30,既婚,A型,愛知県,23,086-249-5468,090-7303-9333,ドコモ,左ルー・ルー攻め派
藤沢 浩太郎,ふじさわ こうたろう,fujisawa_koutarou@example.com,男,13,2006/5/9,未婚,A型,沖縄県,47,031-604-2769,090-7562-5587,ソフトバンク,左ルー・ルー攻め派
真田 大樹,さなだ ひろき,sanada_hiroki@example.com,男,82,1937/11/25,既婚,B型,群馬県,10,088-686-3008,090-3620-2376,au,手前ルー・別口派
篠田 剛基,しのだ よしき,shinoda_yoshiki@example.com,男,29,1990/12/19,既婚,A型,神奈川県,14,0 6-510-9906,080-6237-8004,ドコモ,左ルー・せき止め派
市川 敏也,いちかわ としや,ichikawa_toshiya@example.com,男,59,1960/2/22,既婚,B型,福島県,07,026-165-4752,080-1339-7999,au,ぶっかけ・せき止め派
渡部 光,わたべ ひかる,watabe_hikaru@example.com,女,50,1969/3/15,既婚,A型,福岡県,40,013-295-3955,080-3711-9437,ドコモ,ぶっかけ・せき止め派
田代 りえ,たしろ りえ,tashiro_rie@example.com,女,22,1997/10/1,未婚,A型,埼玉県,11,090-379-9181,080-9463-8154,ドコモ,ぶっかけ・別口派
益岡 碧海,ますおか おうが,masuoka_ouga@example.com,男,56,1963/5/17,既婚,A型,山形県,06,078-864-6725,090-8825-2512,ドコモ,左ルー・別口派
細山 コウ,ほそやま こう,hosoyama_kou@example.com,女,83,1937/1/12,既婚,AB型,群馬県,10,081-562-2855,080-9419-4159,au,ぶっかけ・ルー攻め派
野呂 慶太,のろ けいた,noro_keita@example.com,男,59,1960/2/22,既婚,A型,愛知県,23,041-802-9142,090-9413-5355,ソフトバンク,ぶっかけ・別口派
長尾 広之,ながお ひろゆき,nagao_hiroyuki@example.com,男,47,1972/4/3,既婚,A型,北海道,01,065-295-9827,090-8010-6267,ソフトバンク,左ルー・ルー攻め派
満島 那奈,みつしま なな,mitsushima_nana@example.com,女,29,1990/7/7,既婚,AB型,大阪府,27,010-807-9270,090-2988-1294,ソフトバンク,左ルー・せき止め派
大浦 公顕,おおうら きみあき,ooura_kimiaki@example.com,男,24,1995/8/30,未婚,B型,埼玉県,11,0  -771-9982,080-4100-1199,ドコモ,奥ルー・混ぜ混ぜ派
日野 憲史,ひの のりひと,hino_norihito@example.com,男,79,1940/12/7,既婚,A型,福島県,07,0  - 41-2360,080- 515-5544,ドコモ,左ルー・混ぜ混ぜ派
佐古 桃子,さこ ももこ,sako_momoko@example.com,女,67,1952/7/15,既婚,O型,愛媛県,38,073-794-7311,080-5253- 912,ドコモ,手前ルー・混ぜ混ぜ派
大沢 窈,おおさわ よう,oosawa_you@example.com,女,57,1962/12/5,既婚,O型,埼玉県,11,0 8-484-2763,080-2483-7222,ドコモ,奥ルー・せき止め派
矢田 景子,やだ けいこ,yada_keiko@example.com,女,18,2001/8/6,未婚,A型,愛知県,23,099-527- 900,090-9121-6573,ソフトバンク,ぶっかけ・ルー攻め派
森永 満,もりなが みつる,morinaga_mitsuru@example.com,男,39,1980/3/26,既婚,B型,熊本県,43,025-460-2901,080-6373-9312,au,左ルー・せき止め派
川合 禄郎,かわい ろくろう,kawai_rokurou@example.com,男,12,2007/7/17,未婚,O型,福岡県,40,014-489-6104,090-7336- 510,ドコモ,ぶっかけ・別口派
六角 仁,ろっかく じん,rokkaku_jin@example.com,男,70,1949/3/17,既婚,O型,長崎県,42,065-632-7981,090-8370-5163,au,ぶっかけ・ルー攻め派
哀川 フミヤ,あいかわ ふみや,aikawa_fumiya@example.com,男,43,1976/12/2,既婚,A型,茨城県,08,073-869-2293,090-3396-2531,ドコモ,右ルー・混ぜ混ぜ派
野上 幸子,のがみ さちこ,nogami_sachiko@example.com,女,61,1959/1/11,既婚,AB型,愛知県,23,087- 54-7037,090-8553-3220,au,左ルー・ルー攻め派
川田 博明,かわた ひろあき,kawata_hiroaki@example.com,男,85,1934/10/15,既婚,B型,茨城県,08,073-975-4109,080-4004-8142,au,ぶっかけ・ルー攻め派
浜 路子,はま みちこ,hama_michiko@example.com,女,73,1946/8/18,既婚,O型,福岡県,40,065-869- 526,080-5162-5072,au,ぶっかけ・せき止め派
鹿島 陽子,かしま ようこ,kashima_youko@example.com,女,82,1937/10/19,既婚,B型,埼玉県,11,076- 42-2625,090-5552-7308,au,左ルー・ルー攻め派
清野 高史,きよの たかし,kiyono_takashi@example.com,男,76,1943/7/30,既婚,A型,和歌山県,30,0  -632-4840,090-2553-5939,ドコモ,ぶっかけ・別口派
平松 雅彦,ひらまつ まさひこ,hiramatsu_masahiko@example.com,男,80,1939/3/17,既婚,O型,神奈川県,14,021-379- 491,080-1192-1351,ドコモ,左ルー・別口派
重松 徹,しげまつ とおる,shigematsu_tohru@example.com,男,64,1955/4/10,既婚,A型,静岡県,22,046-836-9235,090-7862-1936,ドコモ,右ルー・混ぜ混ぜ派
沖 勇,おき ゆう,oki_yuu@example.com,女,47,1972/5/17,既婚,O型,三重県,24,049-148-6306,090-6023-5203,ソフトバンク,ぶっかけ・別口派
田沢 直人,たざわ なおと,tazawa_naoto@example.com,男,51,1969/1/20,既婚,A型,愛知県,23,037- 26-5933,080-7571-2467,ドコモ,左ルー・別口派
小椋 涼,おぐら りょう,ogura_ryou@example.com,女,16,2004/1/19,未婚,O型,大阪府,27,016-502-5232,090-9312-3398,au,奥ルー・混ぜ混ぜ派
原 豊,はら ゆたか,hara_yutaka@example.com,男,64,1955/2/24,既婚,B型,長野県,20,051-610-3429,090-9360-1012,ドコモ,右ルー・せき止め派
岡村 恵望子,おかむら えみこ,okamura_emiko@example.com,女,71,1948/9/13,既婚,A型,青森県,02,076-943-3528,080-5067-7715,ドコモ,左ルー・混ぜ混ぜ派
青山 獅童,あおやま しどう,aoyama_shidou@example.com,男,31,1988/6/1,既婚,O型,和歌山県,30,075-806-5290,090-2757-2293,ドコモ,ぶっかけ・混ぜ混ぜ派
大竹 孝太郎,おおたけ こうたろう,ootake_koutarou@example.com,男,28,1991/5/15,未婚,O型,宮城県,04,028-706-5469,090-4450-1036,ソフトバンク,ぶっかけ・せき止め派
外山 蒼甫,そとやま そうすけ,sotoyama_sousuke@example.com,男,82,1937/8/6,既婚,B型,岩手県,03,091-709-6409,080-1535-9207,ドコモ,左ルー・ナン派
黒木 さやか,くろき さやか,kuroki_sayaka@example.com,女,80,1939/2/20,既婚,A型,高知県,39,078-425-7456,090-6027-7851,ドコモ,左ルー・ルー攻め派
井本 恵望子,いもと えみこ,imoto_emiko@example.com,女,44,1975/7/2,既婚,B型,神奈川県,14,083-970-4268,090-8573- 478,ドコモ,ぶっかけ・ルー攻め派
曽根 沙知絵,そね さちえ,sone_sachie@example.com,女,11,2008/11/25,未婚,A型,佐賀県,41,0 6- 46-8092,080-2802-8342,ドコモ,右ルー・せき止め派
菅 直人,すが なおと,suga_naoto@example.com,男,83,1936/6/1,既婚,O型,北海道,01,082-915-5583,080-6987- 603,ドコモ,手前ルー・ナン派
難波 完爾,なんば かんじ,nannba_kanji@example.com,男,54,1965/7/29,既婚,O型,岩手県,03,097-390-6289,090-7993-4386,ドコモ,左ルー・せき止め派
藤井 基祐,ふじい きすけ,fujii_kisuke@example.com,男,68,1951/6/30,既婚,O型,福岡県,40,0 2- 74- 104,080-5410-5169,ドコモ,ぶっかけ・せき止め派
吹石 進,ふきいし すすむ,fukiishi_susumu@example.com,男,65,1954/10/20,既婚,O型,大阪府,27,0 3-491-2812,090-5310-4395,ソフトバンク,右ルー・混ぜ混ぜ派
武内 新太,たけうち あらた,takeuchi_arata@example.com,男,33,1986/9/10,未婚,A型,東京都,13,0 6-863- 698,080-7176-3709,au,別盛り・せき止め派
花田 光博,はなだ みつひろ,hanada_mitsuhiro@example.com,男,24,1995/9/12,未婚,A型,福井県,18,019-130-1601,080-9546-6498,au,別盛り・ルー攻め派
天野 輝信,あまの あきのぶ,amano_akinobu@example.com,男,43,1976/10/15,既婚,A型,岡山県,33,044-165- 702,080- 890-5529,au,右ルー・別口派
末吉 莉緒,すえきち りお,suekichi_rio@example.com,女,71,1949/2/15,既婚,A型,三重県,24,099-843-4843,080-1163-3945,au,左ルー・ルー攻め派
平良 豊,ひらら ゆたか,hirara_yutaka@example.com,男,18,2001/2/17,未婚,A型,東京都,13,020-763-9507,090-9310-4533,au,ぶっかけ・せき止め派
西山 かおり,にしやま かおり,nishiyama_kaori@example.com,女,12,2007/4/16,未婚,A型,北海道,01,072-525-8995,080- 256-4422,ソフトバンク,手前ルー・混ぜ混ぜ派
根岸 美佐,ねぎし みさ,negishi_misa@example.com,女,39,1980/7/11,既婚,A型,岐阜県,21,089-519-9561,090-2954-8852,au,ぶっかけ・ルー攻め派
長友 幸平,ながとも こうへい,nagatomo_kouhei@example.com,男,85,1934/3/6,既婚,AB型,福井県,18,034-397-7567,080-9589-3649,au,左ルー・ルー攻め派
長谷川 鉄洋,はせがわ てつひろ,hasegawa_tetsuhiro@example.com,男,10,2009/6/29,未婚,O型,福岡県,40,0 3-540-1729,090- 550-6076,ソフトバンク,別盛り・別口派
岸 恵望子,きし えみこ,kishi_emiko@example.com,女,55,1964/9/15,既婚,AB型,東京都,13,058-454-7779,080-2929-1787,ドコモ,ぶっかけ・せき止め派
大江 サダヲ,おおえ さだお,ooe_sadawo@example.com,男,41,1978/5/31,既婚,O型,岩手県,03,070-636-6217,080-9441-8459,ドコモ,ぶっかけ・混ぜ混ぜ派
小玉 雅彦,こだま まさひこ,kodama_masahiko@example.com,男,46,1973/5/12,既婚,B型,新潟県,15,075-593-8251,090-8491-2711,ドコモ,手前ルー・せき止め派
森永 雅彦,もりなが まさひこ,morinaga_masahiko@example.com,男,32,1987/10/30,未婚,A型,愛知県,23,078-574-5102,080-8125-6055,ドコモ,ぶっかけ・せき止め派
小森 美紀,こもり みき,komori_miki@example.com,女,36,1984/1/3,既婚,A型,京都府,26,040-362-3549,080-2516-6886,ドコモ,別盛り・混ぜ混ぜ派
吉田 三郎,よしだ さぶろう,yoshida_saburou@example.com,男,16,2004/2/5,未婚,AB型,大阪府,27,023-847-1079,080- 992-5964,ドコモ,ぶっかけ・ルー攻め派
長井 早織,ながい さおり,nagai_saori@example.com,女,69,1950/9/26,既婚,A型,兵庫県,28,0 9-211- 421,090-2760-1477,ドコモ,右ルー・ルー攻め派
黒岩 優一,くろいわ ゆういち,kuroiwa_yuuichi@example.com,男,21,1998/4/21,未婚,O型,山口県,35,085-903-2619,090-6213-9060,ドコモ,奥ルー・せき止め派
小幡 かおり,おばた かおり,obata_kaori@example.com,女,16,2003/10/5,未婚,A型,神奈川県,14,0 7-753-9416,080-6279-5463,ドコモ,右ルー・別口派
岩下 そら,いわした そら,iwashita_sora@example.com,女,82,1937/6/20,既婚,A型,愛知県,23,0 2-594-4653,090-3463-4157,ドコモ,左ルー・ルー攻め派
沖 勇,おき ゆう,oki_yuu1@example.com,女,48,1971/10/24,既婚,A型,愛知県,23,052-927-5444,080-1655-6984,ドコモ,ぶっかけ・混ぜ混ぜ派
寺井 美帆,てらい みほ,terai_miho@example.com,女,11,2008/11/10,未婚,AB型,広島県,34,056-212-4484,090- 666-1891,ドコモ,左ルー・別口派
倉田 雄太,くらた ゆうた,kurata_yuuta@example.com,男,55,1964/4/23,既婚,AB型,京都府,26,050-989-6431,090-9738-7644,ドコモ,ぶっかけ・ルー攻め派
新垣 窈,あらがき よう,aragaki_you@example.com,女,40,1979/3/16,既婚,O型,福岡県,40,029-376-1844,090-7224-4171,ドコモ,ぶっかけ・せき止め派
工藤 丈雄,くどう たけお,kudou_takeo@example.com,男,44,1975/3/5,既婚,A型,栃木県,09,080-677-9865,080-3160-2829,ドコモ,手前ルー・せき止め派
中岡 敏和,なかおか としかず,nakaoka_toshikazu@example.com,男,49,1970/6/24,既婚,A型,千葉県,12,051- 23-6971,090-5858-5295,ドコモ,左ルー・ルー攻め派
保坂 仁,ほさか じん,hosaka_jin@example.com,男,79,1940/7/25,既婚,B型,静岡県,22,038-226-2428,080-8657-7489,au,ぶっかけ・せき止め派
高島 友香,たかしま ともか,takashima_tomoka@example.com,女,39,1981/1/26,既婚,B型,三重県,24,031- 96-3638,090-3500-1864,ソフトバンク,左ルー・混ぜ混ぜ派
神崎 博之,かんざき ひろゆき,kannzaki_hiroyuki@example.com,男,50,1969/8/11,未婚,A型,福岡県,40,030-796-9899,090-8480-5876,ドコモ,手前ルー・ルー攻め派
安部 美帆,あべ みほ,abe_miho@example.com,女,15,2004/11/18,未婚,A型,滋賀県,25,091-753-9036,090-1347-7068,ソフトバンク,手前ルー・せき止め派
日下 建,ひのした けん,hinoshita_ken@example.com,男,80,1939/6/17,既婚,O型,山口県,35,068-114-7232,090-4646- 420,ドコモ,左ルー・せき止め派
宮地 竜也,みやじ たつや,miyaji_tatsuya@example.com,男,77,1943/1/17,既婚,B型,広島県,34,067-405-4374,080-4973- 572,ソフトバンク,左ルー・せき止め派
尾崎 利夫,おざき としお,ozaki_toshio@example.com,男,42,1977/12/18,既婚,O型,大阪府,27,086-901-7321,090-4471-2963,au,左ルー・ルー攻め派
小関 光良,こぜき てるよし,kozeki_teruyoshi@example.com,男,15,2004/3/17,未婚,O型,北海道,01,076-598-5299,090-1313-9533,au,奥ルー・ルー攻め派
津田 洋介,つだ ようすけ,tsuda_yousuke@example.com,男,41,1978/9/22,既婚,A型,神奈川県,14,020-675-4616,090- 709-1635,au,右ルー・せき止め派
秋田 佑,あきた たすく,akita_tasuku@example.com,男,69,1950/3/4,既婚,O型,新潟県,15,0 9-384-1033,090-8022-7354,ドコモ,奥ルー・せき止め派
細山 七世,ほそやま ななせ,hosoyama_nanase@example.com,女,31,1988/12/27,未婚,A型,栃木県,09,024-174-2750,090-8375-2387,au,右ルー・せき止め派
坂上 まひる,さかがみ まひる,sakagami_mahiru@example.com,女,84,1935/3/23,既婚,O型,神奈川県,14,089-598-5877,090-5610-4407,ドコモ,左ルー・せき止め派
玉井 正敏,たまい まさとし,tamai_masatoshi@example.com,男,63,1957/1/10,既婚,A型,佐賀県,41,013-929-1527,080-9399-6673,ドコモ,左ルー・別口派
今田 一代,いまだ かずよ,imada_kazuyo@example.com,女,73,1946/10/2,既婚,A型,大阪府,27,062-645-6377,080-4004-7503,ドコモ,ぶっかけ・ルー攻め派
高村 美智子,たかむら みちこ,takamura_michiko@example.com,女,16,2003/7/25,未婚,B型,神奈川県,14,015-722- 553,090-3066-2756,au,左ルー・混ぜ混ぜ派
湊 あや子,みなと あやこ,minato_ayako@example.com,女,48,1971/5/7,既婚,B型,宮城県,04,0 6-635-2535,080-5980-4457,ドコモ,奥ルー・混ぜ混ぜ派
早坂 愛菜,はやさか あいな,hayasaka_aina@example.com,女,80,1939/11/25,既婚,A型,埼玉県,11,085-412-9503,090-5204-2883,au,ぶっかけ・ルー攻め派
